,RECORD INDEX,NEIGHBORHOOD,BLDGCAT,BLDGDESCRIPTION,TAXCLP,BLOCK,LOT,BLDGCP,ADDRESS,ZIP_CODE,RESIDENTIAL_ UNITS,COMMERCIAL_UNITS,UNITS,LANDSFT,GROSSSF,BUILT,TAXCLSALE,BLDGCTOS,SALE_PRICE,SALE_DATE,LAT,LONG
2622,9347.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,580.0,11.0,D9,"70 CHARLTON STREET, 11E",10014,122.0,2.0,124.0,"15,104","224,400",2014.0,2.0,D9,"$2,150,000.00",4/27/2023,40.73399254,-74.00490643
2623,9348.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,580.0,11.0,D9,"70 CHARLTON STREET, 15E",10014,122.0,2.0,124.0,"15,104","224,400",2014.0,2.0,D9,$0.00,5/17/2023,40.73399254,-74.00490643
2624,9349.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,580.0,11.0,D9,"70 CHARLTON STREET, 17E",10014,122.0,2.0,124.0,"15,104","224,400",2014.0,2.0,D9,"$4,035,963.00",12/8/2022,40.73399254,-74.00490643
2625,9350.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,580.0,11.0,D9,"70 CHARLTON STREET, 19E",10014,122.0,2.0,124.0,"15,104","224,400",2014.0,2.0,D9,"$4,423,848.00",11/8/2022,40.73399254,-74.00490643
2626,9351.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,580.0,11.0,D9,"70 CHARLTON STREET, 20E",10014,122.0,2.0,124.0,"15,104","224,400",2014.0,2.0,D9,"$4,199,000.00",10/11/2023,40.73399254,-74.00490643
2627,9352.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,580.0,11.0,D9,"70 CHARLTON STREET, 3F",10014,122.0,2.0,124.0,"15,104","224,400",2014.0,2.0,D9,"$2,050,000.00",2/21/2023,40.73399254,-74.00490643
2669,9596.0,SOHO,21.0,OFFICE BUILDINGS,4,520.0,28.0,O2,195 WEST HOUSTON STREET,10014,0.0,1.0,1.0,"2,500","9,250",1900.0,4.0,O2,$0.00,4/28/2023,40.73399254,-74.00490643
2670,9598.0,SOHO,21.0,OFFICE BUILDINGS,4,598.0,58.0,O6,345 HUDSON STREET,10014,0.0,24.0,24.0,"49,755","797,477",1931.0,4.0,O6,$0.00,6/1/2023,40.73399254,-74.00490643
2673,938.0,CHINATOWN,2.0,TWO FAMILY DWELLINGS,1,279.0,14.0,B1,9 OLIVER STREET,10038,2.0,0.0,2.0,944,"3,600",1901.0,1.0,B1,$0.00,3/17/2023,40.70912461,-74.00438944
2705,1224.0,CIVIC CENTER,33.0,EDUCATIONAL FACILITIES,4,113.0,100.0,W1,411 PEARL STREET,10038,0.0,0.0,0.0,"53,675","305,000",1975.0,4.0,W1,$0.00,4/26/2023,40.70912461,-74.00438944
2706,1815.0,FINANCIAL,8.0,RENTALS - ELEVATOR APARTMENTS,2,65.0,10.0,D5,9-11 MAIDEN LANE,10038,66.0,2.0,68.0,"4,792","58,354",1900.0,2.0,D5,$0.00,8/24/2023,40.70912461,-74.00438944
2709,1885.0,FINANCIAL,11.0,SPECIAL CONDO BILLING LOTS,2,78.0,1902.0,RR,"110 FULTON STREET, RU",10038,29.0,0.0,29.0,0,"22,000",1929.0,2.0,RR,"$202,000.00",2/15/2023,40.70912461,-74.00438944
2770,2211.0,FINANCIAL,21.0,OFFICE BUILDINGS,4,68.0,11.0,O6,75 MAIDEN LANE,10038,0.0,0.0,0.0,"14,048","155,026",1925.0,4.0,O6,$0.00,9/26/2023,40.70912461,-74.00438944
2771,2212.0,FINANCIAL,21.0,OFFICE BUILDINGS,4,75.0,21.0,O4,40 FULTON STREET,10038,0.0,34.0,34.0,"11,828","234,553",1987.0,4.0,O4,"$101,000,000.00",12/21/2022,40.70912461,-74.00438944
2772,2214.0,FINANCIAL,22.0,STORE BUILDINGS,4,79.0,25.0,K2,144 FULTON STREET,10038,0.0,1.0,1.0,"3,003","8,071",1909.0,4.0,K2,"$38,000,000.00",10/20/2023,40.70912461,-74.00438944
2788,9629.0,SOUTHBRIDGE,7.0,RENTALS - WALKUP APARTMENTS,2B,107.0,44.0,C7,"265 WATER ST, 2",10038,7.0,1.0,8.0,"2,196","18,450",1900.0,2.0,C7,"$1,100,000.00",12/23/2022,40.70912461,-74.00438944
2789,9630.0,SOUTHBRIDGE,7.0,RENTALS - WALKUP APARTMENTS,2B,107.0,44.0,C7,"265 WATER STREET, 6",10038,7.0,1.0,8.0,"2,196","18,450",1900.0,2.0,C7,$0.00,1/26/2023,40.70912461,-74.00438944
2790,9631.0,SOUTHBRIDGE,8.0,RENTALS - ELEVATOR APARTMENTS,2,97.0,1.0,D7,119 SOUTH STREET,10038,16.0,1.0,17.0,"2,630","14,053",1900.0,2.0,D7,"$11,400,000.00",6/16/2023,40.70912461,-74.00438944
2881,9722.0,SOUTHBRIDGE,14.0,RENTALS - 4-10 UNIT,2A,97.0,8.0,S3,108 SOUTH STREET,10038,3.0,1.0,4.0,"1,356","6,251",1830.0,2.0,S3,"$7,600,000.00",6/16/2023,40.70912461,-74.00438944
2882,9723.0,SOUTHBRIDGE,22.0,STORE BUILDINGS,4,93.0,25.0,K4,166 WILLIAM STREET,10038,0.0,2.0,2.0,"2,310","13,840",1900.0,4.0,K4,"$15,000,000.00",12/16/2022,40.70912461,-74.00438944
2883,9724.0,SOUTHBRIDGE,26.0,OTHER HOTELS,4,107.0,38.0,HB,33 PECK SLIP,10038,0.0,5.0,5.0,"6,204","39,747",1900.0,4.0,HB,"$60,000,000.00",1/9/2023,40.70912461,-74.00438944
2887,939.0,CHINATOWN,7.0,RENTALS - WALKUP APARTMENTS,2,164.0,7.0,C7,42 MULBERRY ST,10013,15.0,2.0,17.0,"3,486","13,120",1915.0,2.0,C7,$0.00,12/29/2022,40.71916688,-74.00238753
2888,940.0,CHINATOWN,7.0,RENTALS - WALKUP APARTMENTS,2,200.0,22.0,C7,73 MOTT STREET,10013,16.0,2.0,18.0,"2,278","11,112",1915.0,2.0,C7,"$3,558,888.00",5/30/2023,40.71916688,-74.00238753
2941,1003.0,CHINATOWN,14.0,RENTALS - 4-10 UNIT,2A,238.0,33.0,S3,161 HESTER STREET,10013,3.0,1.0,4.0,"1,439","4,605",1920.0,2.0,S3,"$5,150,000.00",12/16/2022,40.71916688,-74.00238753
2946,1012.0,CHINATOWN,22.0,STORE BUILDINGS,4,164.0,24.0,K4,53 MOTT STREET,10013,0.0,6.0,6.0,"2,500","6,975",1915.0,4.0,K4,"$7,490,000.00",7/12/2023,40.71916688,-74.00238753
2947,1013.0,CHINATOWN,22.0,STORE BUILDINGS,4,202.0,30.0,K4,40 BOWERY,10013,0.0,3.0,3.0,"2,000","3,666",1910.0,4.0,K4,$0.00,5/11/2023,40.71916688,-74.00238753
2948,1014.0,CHINATOWN,22.0,STORE BUILDINGS,4,206.0,29.0,K4,209 CANAL STREET,10013,0.0,7.0,7.0,"1,749","7,895",1910.0,4.0,K4,$0.00,5/3/2023,40.71916688,-74.00238753
2967,1048.0,CIVIC CENTER,7.0,RENTALS - WALKUP APARTMENTS,2A,146.0,10.0,C5,110 READE STREET,10013,5.0,1.0,6.0,"1,525","8,500",1900.0,2.0,C5,"$9,007,000.00",9/14/2023,40.71916688,-74.00238753
3029,1223.0,CIVIC CENTER,22.0,STORE BUILDINGS,4,174.0,16.0,K4,"257 CHURCH STREET, 5",10013,4.0,1.0,5.0,"1,872","9,360",1915.0,4.0,K4,"$1,900,000.00",8/1/2023,40.71916688,-74.00238753
3047,5704.0,LITTLE ITALY,1.0,ONE FAMILY DWELLINGS,1,471.0,1.0,A4,1 CENTRE MARKET PLACE,10013,1.0,0.0,1.0,"1,047","3,700",1900.0,1.0,A4,$0.00,8/9/2023,40.71916688,-74.00238753
3048,5705.0,LITTLE ITALY,1.0,ONE FAMILY DWELLINGS,1,471.0,51.0,S1,157 MOTT STREET,10013,1.0,1.0,2.0,"2,500","3,906",1901.0,1.0,S1,$0.00,1/18/2023,40.71916688,-74.00238753
3049,5706.0,LITTLE ITALY,7.0,RENTALS - WALKUP APARTMENTS,2B,471.0,8.0,C7,8 CENTRE MARKET PLACE,10013,8.0,1.0,9.0,"1,707","7,020",1900.0,2.0,C7,"$7,400,000.00",4/26/2023,40.71916688,-74.00238753
3050,5707.0,LITTLE ITALY,7.0,RENTALS - WALKUP APARTMENTS,2,471.0,18.0,C7,169 MULBERRY STREET,10013,11.0,1.0,12.0,"2,475","11,460",1914.0,2.0,C7,"$6,000,000.00",9/27/2023,40.71916688,-74.00238753
3060,9336.0,SOHO,2.0,TWO FAMILY DWELLINGS,1,506.0,48.0,B1,17 VANDAM STREET,10013,2.0,0.0,2.0,"2,152","2,750",1899.0,1.0,B1,$0.00,2/2/2023,40.71916688,-74.00238753
3061,9337.0,SOHO,2.0,TWO FAMILY DWELLINGS,1,506.0,51.0,B1,23 VAN DAM STREET,10013,2.0,0.0,2.0,"2,018","2,000",1899.0,1.0,B1,$0.00,7/31/2023,40.71916688,-74.00238753
3062,9341.0,SOHO,7.0,RENTALS - WALKUP APARTMENTS,2,476.0,42.0,C7,25 THOMPSON STREET,10013,28.0,2.0,30.0,"3,900","15,186",1900.0,2.0,C7,"$13,350,000.00",3/7/2023,40.71916688,-74.00238753
3063,9353.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,594.0,108.0,D7,219 HUDSON STREET,10013,14.0,1.0,15.0,"3,716","29,270",2020.0,2.0,D7,$0.00,4/27/2023,40.71916688,-74.00238753
3064,9354.0,SOHO,8.0,RENTALS - ELEVATOR APARTMENTS,2,594.0,108.0,D7,219 HUDSON STREET,10013,14.0,1.0,15.0,"3,716","29,270",2020.0,2.0,D7,$0.00,7/17/2023,40.71916688,-74.00238753
3166,9592.0,SOHO,21.0,OFFICE BUILDINGS,4,232.0,21.0,O5,30-32 HOWARD STREET,10013,0.0,5.0,5.0,"6,047","30,034",1910.0,4.0,O5,"$48,100,000.00",10/5/2023,40.71916688,-74.00238753
3167,9593.0,SOHO,21.0,OFFICE BUILDINGS,4,473.0,14.0,O5,486 BROADWAY,10013,4.0,5.0,9.0,"4,796","30,031",1900.0,4.0,O5,"$23,520,000.00",12/15/2022,40.71916688,-74.00238753
3168,9594.0,SOHO,21.0,OFFICE BUILDINGS,4,475.0,34.0,O5,40 WOOSTER STREET,10013,0.0,6.0,6.0,"2,500","14,125",1896.0,4.0,O5,"$14,750,000.00",9/28/2023,40.71916688,-74.00238753
3169,9597.0,SOHO,21.0,OFFICE BUILDINGS,4,594.0,82.0,O9,285 HUDSON STREET,10013,1.0,3.0,4.0,"2,250","6,125",1970.0,4.0,O9,"$5,950,000.00",6/28/2023,40.71916688,-74.00238753
3170,9599.0,SOHO,22.0,STORE BUILDINGS,4,473.0,5.0,K2,470 BROADWAY,10013,0.0,1.0,1.0,"3,350","6,664",1910.0,4.0,K2,"$8,077,750.00",7/7/2023,40.71916688,-74.00238753
3171,9606.0,SOHO,26.0,OTHER HOTELS,4,473.0,17.0,H3,431 BROOME STREET,10013,0.0,1.0,1.0,"2,565","8,803",1900.0,4.0,H3,"$14,050,000.00",8/18/2023,40.71916688,-74.00238753
3180,9728.0,TRIBECA,1.0,ONE FAMILY DWELLINGS,1,180.0,12.0,A9,9 JAY STREET,10013,1.0,0.0,1.0,"1,361","4,083",1940.0,1.0,A9,$0.00,8/23/2023,40.71916688,-74.00238753
3181,9729.0,TRIBECA,1.0,ONE FAMILY DWELLINGS,1,224.0,27.0,A4,464 GREENWICH STREET,10013,1.0,0.0,1.0,"1,511","7,401",1920.0,1.0,A4,"$23,500,000.00",1/26/2023,40.71916688,-74.00238753
3182,9730.0,TRIBECA,2.0,TWO FAMILY DWELLINGS,1,180.0,26.0,B1,17 HARRISON STREET,10013,2.0,0.0,2.0,"1,404","6,000",1920.0,1.0,B1,"$9,995,000.00",5/31/2023,40.71916688,-74.00238753
3280,10218.0,TRIBECA,14.0,RENTALS - 4-10 UNIT,2A,141.0,15.0,S5,315 GREENWICH STREET,10013,5.0,1.0,6.0,"1,434","6,545",1930.0,2.0,S5,"$8,225,000.00",11/18/2022,40.71916688,-74.00238753
3388,10330.0,TRIBECA,21.0,OFFICE BUILDINGS,4,193.0,50.0,O5,381 BROADWAY,10013,0.0,7.0,7.0,"3,835","18,300",1915.0,4.0,O5,"$16,750,000.00",4/13/2023,40.71916688,-74.00238753
3389,10331.0,TRIBECA,21.0,OFFICE BUILDINGS,4,212.0,18.0,O6,15 LAIGHT STREET,10013,0.0,3.0,3.0,"13,868","97,814",1900.0,4.0,O6,"$273,500,000.00",2/15/2023,40.71916688,-74.00238753
3390,10332.0,TRIBECA,22.0,STORE BUILDINGS,4,141.0,12.0,K4,154 READE STREET,10013,0.0,4.0,4.0,"1,338","5,850",1915.0,4.0,K4,"$7,550,000.00",9/19/2023,40.71916688,-74.00238753
3391,10333.0,TRIBECA,22.0,STORE BUILDINGS,4,181.0,20.0,K4,173 FRANKLIN STREET,10013,0.0,1.0,1.0,"2,200","5,920",1900.0,4.0,K4,$0.00,7/11/2023,40.71916688,-74.00238753
3483,1205.0,CIVIC CENTER,14.0,RENTALS - 4-10 UNIT,2A,135.0,21.0,S5,90 CHAMBERS STREET,10007,5.0,1.0,6.0,"1,877","8,885",1915.0,2.0,S5,$0.00,12/30/2022,40.71408279,-74.00830367
3497,9731.0,TRIBECA,7.0,RENTALS - WALKUP APARTMENTS,2A,132.0,22.0,C2,83 WARREN STREET,10007,5.0,0.0,5.0,"1,875","8,560",1920.0,2.0,C2,"$6,000,000.00",2/28/2023,40.71408279,-74.00830367
3577,10217.0,TRIBECA,14.0,RENTALS - 4-10 UNIT,2A,132.0,2.0,S9,67 MURRAY STREET,10007,4.0,2.0,6.0,"2,500","12,300",1920.0,2.0,S9,"$13,000,000.00",7/20/2023,40.71408279,-74.00830367
3585,1243.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2,1055.0,29.0,C7,643 9 AVENUE,10036,19.0,2.0,21.0,"3,200","15,200",1910.0,2.0,C7,"$3,321,100.00",1/25/2023,40.75946488,-73.98927393
3586,1244.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2B,1057.0,12.0,C1,447 WEST 47TH STREET,10036,10.0,0.0,10.0,"1,883","7,686",1910.0,2.0,C1,"$6,350,000.00",12/15/2022,40.75946488,-73.98927393
3587,1245.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2,1057.0,25.0,C7,415 WEST 47TH STREET,10036,24.0,1.0,25.0,"3,139","11,750",1901.0,2.0,C7,$0.00,5/24/2023,40.75946488,-73.98927393
3588,1246.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2B,1058.0,15.0,C4,431 WEST 48TH STREET,10036,8.0,0.0,8.0,"2,510","6,560",1901.0,2.0,C4,$0.00,12/22/2022,40.75946488,-73.98927393
3589,1250.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2,1076.0,23.0,C7,515 WEST 47TH STREET,10036,15.0,1.0,16.0,"2,510","10,675",1901.0,2.0,C7,"$7,700,000.00",7/20/2023,40.75946488,-73.98927393
3590,1253.0,CLINTON,8.0,RENTALS - ELEVATOR APARTMENTS,2,1057.0,56.0,D1,444 WEST 48TH STREET,10036,36.0,0.0,36.0,"5,021","16,355",1940.0,2.0,D1,"$7,750,000.00",4/25/2023,40.75946488,-73.98927393
3748,1484.0,CLINTON,14.0,RENTALS - 4-10 UNIT,2A,1055.0,130.0,S4,647 9 AVENUE,10036,4.0,1.0,5.0,"1,613","6,694",1910.0,2.0,S4,"$3,321,100.00",1/25/2023,40.75946488,-73.98927393
3769,1510.0,CLINTON,21.0,OFFICE BUILDINGS,4,1095.0,11.0,O5,620 12TH AVENUE,10036,0.0,2.0,2.0,"22,150","102,800",1946.0,4.0,O5,$0.00,3/13/2023,40.75946488,-73.98927393
3772,1514.0,CLINTON,40.0,SELECTED GOVERNMENTAL FACILITIES,4,1070.0,44.0,Y2,524 WEST 42ND STREET,10036,0.0,1.0,1.0,"5,802","19,420",1910.0,4.0,Y2,$0.00,2/7/2023,40.75946488,-73.98927393
3778,7842.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2,1033.0,19.0,C7,325 WEST 42ND STREET,10036,12.0,1.0,13.0,"2,510","8,957",1920.0,2.0,C7,"$20,000,000.00",3/29/2023,40.75946488,-73.98927393
3779,7843.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2,1033.0,20.0,C7,323 WEST 42ND STREET,10036,12.0,1.0,13.0,"2,510","9,219",1920.0,2.0,C7,"$20,000,000.00",3/29/2023,40.75946488,-73.98927393
3780,7844.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2,1033.0,21.0,C7,321 WEST 42ND STREET,10036,12.0,1.0,13.0,"2,510","9,203",1930.0,2.0,C7,"$20,000,000.00",3/29/2023,40.75946488,-73.98927393
3781,7845.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2,1038.0,52.0,C1,340 WEST 48TH STREET,10036,15.0,0.0,15.0,"2,510","7,497",1920.0,2.0,C1,"$6,600,000.00",6/8/2023,40.75946488,-73.98927393
3782,7846.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2,1038.0,60.0,C4,356 WEST 48TH STREET,10036,20.0,0.0,20.0,"2,510","9,900",1920.0,2.0,C4,"$4,650,000.00",12/12/2022,40.75946488,-73.98927393
3882,8492.0,MIDTOWN WEST,14.0,RENTALS - 4-10 UNIT,2A,1260.0,65.0,S9,60 W 45TH STREET,10036,4.0,2.0,6.0,"1,958","6,216",1920.0,2.0,S9,"$6,600,000.00",9/29/2023,40.75946488,-73.98927393
3883,8493.0,MIDTOWN WEST,14.0,RENTALS - 4-10 UNIT,2A,1263.0,104.0,S9,73 WEST 47TH STREET,10036,3.0,2.0,5.0,"1,508","6,987",1920.0,2.0,S9,"$11,500,000.00",11/3/2022,40.75946488,-73.98927393
3886,8508.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1258.0,40.0,O5,510 5 AVENUE,10036,0.0,14.0,14.0,"12,552","57,223",1954.0,4.0,O5,"$50,000,000.00",8/10/2023,40.75946488,-73.98927393
3887,8509.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1260.0,48.0,O6,16 WEST 45TH STREET,10036,0.0,7.0,7.0,"2,111","13,440",1916.0,4.0,O6,$0.00,2/21/2023,40.75946488,-73.98927393
3888,8510.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1262.0,117.0,O6,43 WEST 46TH STREET,10036,0.0,5.0,5.0,"2,008","9,020",1920.0,4.0,O6,"$7,225,000.00",11/29/2022,40.75946488,-73.98927393
3889,8511.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1263.0,1.0,O5,1200 AVENUE OF THE AMERICAS,10036,0.0,42.0,42.0,"2,900","21,600",1960.0,4.0,O5,"$22,260,000.00",5/24/2023,40.75946488,-73.98927393
3890,8514.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,998.0,21.0,K2,121 WEST 45TH STREET,10036,0.0,1.0,1.0,"3,116","11,556",1920.0,4.0,K2,$0.00,9/13/2023,40.75946488,-73.98927393
3891,8515.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1000.0,64.0,K4,711-715 SEVENTH AVENUE,10036,0.0,10.0,10.0,"8,067","30,328",1925.0,4.0,K4,$0.00,11/18/2022,40.75946488,-73.98927393
3892,8519.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1037.0,63.0,K2,674 9 AVENUE,10036,0.0,2.0,2.0,"2,325","3,988",1920.0,4.0,K2,"$7,229,250.00",3/23/2023,40.75946488,-73.98927393
3893,8520.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1260.0,45.0,K4,8-10 WEST 45TH STREET,10036,0.0,2.0,2.0,"3,372","18,720",1915.0,4.0,K4,$0.00,2/21/2023,40.75946488,-73.98927393
3894,8521.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1260.0,46.0,K4,12 WEST 45TH STREET,10036,0.0,2.0,2.0,"1,649","4,439",1925.0,4.0,K4,$0.00,2/21/2023,40.75946488,-73.98927393
3895,8522.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1260.0,47.0,K4,14 WEST 45TH STREET,10036,0.0,5.0,5.0,"2,109","7,935",1947.0,4.0,K4,$0.00,2/21/2023,40.75946488,-73.98927393
3896,8523.0,MIDTOWN WEST,25.0,LUXURY HOTELS,4,1020.0,46.0,H1,1601 BROADWAY,10036,0.0,10.0,10.0,"35,275","843,131",1987.0,4.0,H1,"$17,250,000.00",12/28/2022,40.75946488,-73.98927393
3897,8524.0,MIDTOWN WEST,26.0,OTHER HOTELS,4,998.0,18.0,H3,125 WEST 45TH STREET,10036,0.0,2.0,2.0,"4,715","57,520",1928.0,4.0,H3,$0.00,4/18/2023,40.75946488,-73.98927393
3898,8536.0,MIDTOWN WEST,26.0,OTHER HOTELS,4,1261.0,29.0,H3,15 WEST 45TH STREET,10036,0.0,1.0,1.0,"3,377","44,836",2003.0,4.0,H3,"$37,950,000.00",12/28/2022,40.75946488,-73.98927393
3900,8540.0,MIDTOWN WEST,31.0,COMMERCIAL VACANT LAND,4,1260.0,4.0,V1,1150 AVENUE OF THE AMERICAS,10036,0.0,0.0,0.0,"7,375",0,1914.0,4.0,V1,$0.00,8/31/2023,40.75946488,-73.98927393
3922,1247.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2B,1060.0,4.0,C7,740 10TH AVENUE,10019,7.0,1.0,8.0,"1,874","5,448",1910.0,2.0,C7,$0.00,3/29/2023,40.76346148,-73.98607842
3923,1248.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2A,1060.0,59.0,C2,460 WEST 51ST STREET,10019,5.0,0.0,5.0,"2,092","4,428",1920.0,2.0,C2,"$5,000,000.00",10/2/2023,40.76346148,-73.98607842
3924,1249.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2,1067.0,50.0,C4,444 WEST 58TH STREET,10019,15.0,0.0,15.0,"2,510","9,635",1910.0,2.0,C4,"$4,800,000.00",10/4/2023,40.76346148,-73.98607842
3925,1251.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2,1078.0,12.0,C4,537 WEST 49TH STREET,10019,20.0,0.0,20.0,"2,510","9,523",1901.0,2.0,C4,"$2,965,000.00",12/8/2022,40.76346148,-73.98607842
3926,1252.0,CLINTON,7.0,RENTALS - WALKUP APARTMENTS,2B,1079.0,63.0,C7,714 11TH AVENUE,10019,7.0,1.0,8.0,"1,505","6,075",1901.0,2.0,C7,"$3,600,000.00",7/26/2023,40.76346148,-73.98607842
3927,1254.0,CLINTON,8.0,RENTALS - ELEVATOR APARTMENTS,2,1081.0,101.0,D3,"535 WEST 52ND STREET, 2H",10019,96.0,0.0,96.0,"12,552","100,142",2013.0,2.0,D3,$0.00,11/18/2022,40.76346148,-73.98607842
3928,1255.0,CLINTON,8.0,RENTALS - ELEVATOR APARTMENTS,2,1081.0,101.0,D3,"535 WEST 52ND STREET, 8I",10019,96.0,0.0,96.0,"12,552","100,142",2013.0,2.0,D3,$0.00,1/11/2023,40.76346148,-73.98607842
3959,1341.0,CLINTON,11.0,SPECIAL CONDO BILLING LOTS,2,1082.0,1009.0,RR,"552 WEST 54TH STREET, RU3",10019,162.0,0.0,162.0,0,"141,934",2009.0,2.0,RR,"$100,125,000.00",4/4/2023,40.76346148,-73.98607842
4005,1511.0,CLINTON,22.0,STORE BUILDINGS,4,1066.0,1.0,K4,852 10TH AVENUE,10019,2.0,2.0,4.0,"1,307","4,522",1910.0,4.0,K4,"$3,000,000.00",7/7/2023,40.76346148,-73.98607842
4015,7847.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2B,1041.0,41.0,C4,314 WEST 51ST STREET,10019,10.0,0.0,10.0,"1,991","7,605",1920.0,2.0,C4,"$4,750,000.00",4/5/2023,40.76346148,-73.98607842
4016,7848.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2,1042.0,15.0,C1,337 WEST 51ST STREET,10019,12.0,0.0,12.0,"3,639","7,530",1920.0,2.0,C1,$0.00,3/23/2023,40.76346148,-73.98607842
4017,7849.0,MIDTOWN WEST,7.0,RENTALS - WALKUP APARTMENTS,2B,1046.0,25.0,C1,313 WEST 55TH STREET,10019,8.0,0.0,8.0,"1,808","4,732",1920.0,2.0,C1,"$2,800,000.00",11/3/2022,40.76346148,-73.98607842
4018,7850.0,MIDTOWN WEST,8.0,RENTALS - ELEVATOR APARTMENTS,2,1007.0,1.0,D7,841 7 AVENUE,10019,54.0,5.0,59.0,"7,541","85,309",1923.0,2.0,D7,"$40,000,000.00",8/22/2023,40.76346148,-73.98607842
4558,8494.0,MIDTOWN WEST,14.0,RENTALS - 4-10 UNIT,2B,1270.0,11.0,S9,43 WEST 54TH STREET,10019,6.0,2.0,8.0,"1,657","5,802",1915.0,2.0,S9,"$5,000,000.00",2/24/2023,40.76346148,-73.98607842
4567,8506.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1026.0,21.0,O5,1708 BROADWAY,10019,0.0,2.0,2.0,"8,848","52,150",1918.0,4.0,O5,"$172,800,000.00",10/5/2023,40.76346148,-73.98607842
4568,8507.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1027.0,7.0,O3,245 WEST 55TH STREET,10019,0.0,8.0,8.0,"6,025","63,450",1914.0,4.0,O3,"$28,500,000.00",6/6/2023,40.76346148,-73.98607842
4569,8512.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1269.0,1.0,O4,1330 AVENUE OF THE AMERICAS,10019,0.0,0.0,0.0,"21,606","500,177",1965.0,4.0,O4,"$320,000,000.00",11/17/2022,40.76346148,-73.98607842
4570,8513.0,MIDTOWN WEST,21.0,OFFICE BUILDINGS,4,1273.0,12.0,O6,37 WEST 57TH STREET,10019,0.0,2.0,2.0,"5,857","69,649",1923.0,4.0,O6,"$77,500,000.00",4/24/2023,40.76346148,-73.98607842
4571,8516.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1021.0,5.0,K5,249 WEST 49TH STREET,10019,0.0,1.0,1.0,"2,510","4,515",1910.0,4.0,K5,"$5,800,000.00",4/3/2023,40.76346148,-73.98607842
4572,8517.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1021.0,36.0,K4,"200 WEST 54TH STREET, 8B",10019,0.0,3.0,3.0,"3,735","11,205",1921.0,4.0,K4,"$490,000.00",2/13/2023,40.76346148,-73.98607842
4573,8518.0,MIDTOWN WEST,22.0,STORE BUILDINGS,4,1027.0,6.0,K2,251 WEST 55TH STREET,10019,0.0,2.0,2.0,"2,008","2,239",1920.0,4.0,K2,"$5,200,000.00",6/30/2023,40.76346148,-73.98607842
4574,8525.0,MIDTOWN WEST,26.0,OTHER HOTELS,4,1009.0,37.0,H3,102 WEST 57TH STREET,10019,0.0,2.0,2.0,"7,532","112,850",2007.0,4.0,H3,$0.00,2/3/2023,40.76346148,-73.98607842
4575,8526.0,MIDTOWN WEST,26.0,OTHER HOTELS,4,1009.0,37.0,H3,102 WEST 57TH STREET,10019,0.0,2.0,2.0,"7,532","112,850",2007.0,4.0,H3,$0.00,7/5/2023,40.76346148,-73.98607842
4576,8527.0,MIDTOWN WEST,26.0,OTHER HOTELS,4,1009.0,37.0,H3,102 WEST 57TH STREET,10019,0.0,2.0,2.0,"7,532","112,850",2007.0,4.0,H3,$100.00,7/12/2023,40.76346148,-73.98607842
